時刻(時間:分),行為者率(%)
0:00,76.5625
0:15,76.9875
0:30,79.4375
0:45,79.4375
1:00,85.8
1:15,86.1125
1:30,86.8375
1:45,87.125
2:00,90.75
2:15,90.75
2:30,91.65
2:45,91.65
3:00,94.15
3:15,93.9875
3:30,94.775
3:45,94.775
4:00,95.15
4:15,95.15
4:30,94.85
4:45,94.2
5:00,93.5375
5:15,92.9625
5:30,90.525
5:45,89.2
6:00,84.025
6:15,82.825
6:30,75.7
6:45,74.125
7:00,64.1
7:15,62.925
7:30,56.825
7:45,56.5125
8:00,44.275
8:15,43.1125
8:30,35.325
8:45,34.6
9:00,25.8375
9:15,25.2375
9:30,19.3125
9:45,19.1625
10:00,13.925
10:15,13.5125
10:30,10.8125
10:45,10.675
11:00,7.625
11:15,7.35
11:30,6.2625
11:45,6.2625
12:00,5.325
12:15,5.2
12:30,4.7625
12:45,4.3125
13:00,3
13:15,3.1625
13:30,3.1375
13:45,2.9875
14:00,3
14:15,3
14:30,2.8625
14:45,3.025
15:00,2.825
15:15,2.6625
15:30,2.8875
15:45,2.8875
16:00,3.7625
16:15,3.7625
16:30,3.5
16:45,3.65
17:00,2.7625
17:15,2.6125
17:30,2.0875
17:45,2.225
18:00,2.7
18:15,2.7
18:30,1.95
18:45,1.825
19:00,1.3625
19:15,1.1625
19:30,1.5
19:45,1.5
20:00,1.9625
20:15,1.825
20:30,2.1125
20:45,2.1125
21:00,7.925
21:15,8.975
21:30,12.5
21:45,12.8
22:00,22.0375
22:15,22.5
22:30,27.6
22:45,27.875
23:00,43.9625
23:15,45
23:30,54.1
23:45,56.3625
